iter	Passed	Remaining
1482	196015	451509
1483	196092	451249
1484	196165	450982
1485	196254	450750
1486	196336	450505
1487	196411	450240
1488	196504	450021
1489	196613	449836
1490	196694	449587
1491	196764	449314
1492	196851	449079
1493	196932	448833
1494	197012	448582
1495	197095	448338
1496	197171	448081
1497	197247	447823
1498	197362	447654
1499	197457	447438
1500	197545	447208
1501	197675	447071
1502	197732	446773
1503	197833	446572
1504	197955	446418
1505	198033	446167
1506	198125	445945
1507	198215	445722
1508	198316	445522
1509	198417	445322
1510	198530	445150
1511	198627	444941
1512	198706	444693
1513	198792	444459
1514	198891	444256
1515	198987	444045
1516	199061	443787
1517	199152	443566
1518	199255	443373
1519	199366	443196
1520	199468	443001
1521	199547	442754
1522	199624	442502
1523	199731	442319
1524	199846	442153
1525	199946	441952
1526	200043	441746
1527	200122	441500
1528	200201	441254
1529	200292	441036
1530	200403	440861
1531	200503	440662
1532	200573	440399
1533	200646	440139
1534	200723	439891
1535	200820	439686
1536	200925	439500
1537	201028	439309
1538	201109	439069
1539	201192	438833
1540	201265	438577
1541	201331	438307
1542	201416	438076
1543	201554	437963
1544	201643	437742
1545	201726	437508
1546	201820	437299
1547	201958	437185
1548	202082	437041
1549	202246	436982
1550	202343	436779
1551	202439	436575
1552	202538	436378
1553	202637	436178
1554	202731	435970
1555	202816	435743
1556	202885	435481
1557	202951	435213
1558	203067	435051
1559	203182	434888
1560	203263	434653
1561	203342	434414
1562	203443	434220
1563	203534	434006
1564	203642	433829
1565	203686	433515
1566	203780	433309
1567	203882	433119
1568	203944	432846
1569	204023	432606
1570	204102	432369
1571	204239	432255
1572	204332	432047
1573	204432	431854
1574	204556	431711
1575	204660	431526
1576	204759	431332
1577	204853	431127
1578	204925	430876
1579	205005	430642
1580	205092	430421
1581	205188	430220
1582	205285	430022
1583	205393	429848
1584	205499	429668
1585	205590	429458
1586	205682	429250
1587	205763	429019
1588	205905	428916
1589	206010	428735
1590	206096	428514
1591	206233	428400
1592	206344	428233
1593	206412	427974
1594	206479	427717
1595	206578	427524
1596	206709	427398
1597	206806	427202
1598	206908	427015
1599	206986	426780
1600	207071	426559
1601	207133	426292
1602	207198	426029
1603	207265	425773
1604	207339	425530
1605	207407	425275
1606	207470	425011
1607	207538	424756
1608	207604	424499
1609	207670	424242
1610	207738	423987
1611	207809	423741
1612	207896	423526
1613	207961	423266
1614	208029	423014
1615	208094	422756
1616	208160	422501
1617	208221	422233
1618	208289	421982
1619	208370	421757
1620	208453	421535
1621	208538	421320
1622	208614	421085
1623	208699	420869
1624	208805	420694
1625	208936	420571
1626	209011	420335
1627	209093	420113
1628	209173	419887
1629	209239	419633
1630	209296	419363
1631	209378	419141
1632	209494	418988
1633	209581	418778
1634	209654	418539
1635	209733	418312
1636	209832	418126
1637	209907	417892
1638	209989	417672
1639	210086	417482
1640	210172	417271
1641	210247	417037
1642	210325	416810
1643	210399	416574
1644	210478	416351
1645	210601	416212
1646	210728	416083
1647	210829	415901
1648	210892	415646
1649	210977	415433
1650	211062	415222
1651	211139	414993
1652	211233	414799
1653	211314	414579
1654	211413	414395
1655	211525	414238
1656	211608	414021
1657	211689	413802
1658	211803	413648
1659	211955	413568
